노선,승차승객,하차승객,총 승객,승차-하차,월,일,요일
5,7032,6606,13638,426,9,24,5
19,3150,3001,6151,149,9,24,5
6,17763,13835,31598,3928,9,24,5
8,20808,28334,49142,-7526,9,24,5
2,64949,60751,125700,4198,9,24,5
21,7984,7939,15923,45,9,24,5
13,506,511,1017,-5,9,24,5
10,2380,2342,4722,38,9,24,5
13,3647,2603,6250,1044,9,24,5
4,8866,9482,18348,-616,9,24,5
5,12107,11790,23897,317,9,24,5
16,2008,3427,5435,-1419,9,24,5
6,10255,9613,19868,642,9,24,5
8,2465,2586,5051,-121,9,24,5
16,1506,1560,3066,-54,9,24,5
17,5802,5230,11032,572,9,24,5
11,7179,6738,13917,441,9,24,5
20,4154,4299,8453,-145,9,24,5
4,13479,12584,26063,895,9,24,5
11,3646,3163,6809,483,9,24,5
6,18318,18046,36364,272,9,24,5
12,6274,6117,12391,157,9,24,5
4,26754,26483,53237,271,9,24,5
5,6249,5512,11761,737,9,24,5
2,8960,5291,14251,3669,9,24,5
1,20212,23044,43256,-2832,9,24,5
11,15388,15977,31365,-589,9,24,5
1,39028,38270,77298,758,9,24,5
18,1807,1600,3407,207,9,24,5
25,12369,12483,24852,-114,9,24,5
8,1277,1395,2672,-118,9,24,5
5,6406,4605,11011,1801,9,24,5
18,3934,4103,8037,-169,9,24,5
1,18953,17718,36671,1235,9,24,5
14,10837,11414,22251,-577,9,24,5
2,18240,19167,37407,-927,9,24,5
25,871,855,1726,16,9,24,5
8,6108,6361,12469,-253,9,24,5
4,9842,10978,20820,-1136,9,24,5
6,12563,9012,21575,3551,9,24,5
11,4841,4362,9203,479,9,24,5
15,274,291,565,-17,9,24,5
6,1,0,1,1,9,24,5
4,8025,7438,15463,587,9,24,5
15,1338,1243,2581,95,9,24,5
13,4654,4344,8998,310,9,24,5
11,22961,22883,45844,78,9,24,5
11,9885,9685,19570,200,9,24,5
13,6500,6244,12744,256,9,24,5
2,6664,5992,12656,672,9,24,5
18,8263,7601,15864,662,9,24,5
4,6786,6927,13713,-141,9,24,5
3,17525,16689,34214,836,9,24,5
15,705,941,1646,-236,9,24,5
8,8588,12600,21188,-4012,9,24,5
16,12036,6300,18336,5736,9,24,5
4,8195,8493,16688,-298,9,24,5
4,23830,21758,45588,2072,9,24,5
1,25501,22868,48369,2633,9,24,5
6,8906,9344,18250,-438,9,24,5
19,1130,1034,2164,96,9,24,5
2,24906,24127,49033,779,9,24,5
6,8924,8065,16989,859,9,24,5
11,7598,7641,15239,-43,9,24,5
7,4993,5065,10058,-72,9,24,5
15,3833,3983,7816,-150,9,24,5
3,1407,787,2194,620,9,24,5
