날짜,노선,역,승차승객,하차승객,총 승객,승차-하차,월,일,요일
2022-04-01,경원선,신이문,8282,7613,15895,669,4,1,금
2022-04-01,경원선,석계,8107,9007,17114,-900,4,1,금
2022-04-01,경원선,광운대,8447,8138,16585,309,4,1,금
2022-04-01,경원선,월계,7660,7116,14776,544,4,1,금
2022-04-01,경원선,녹천,4665,3785,8450,880,4,1,금
2022-04-01,경원선,방학,9561,9383,18944,178,4,1,금
2022-04-01,경원선,도봉,5883,5567,11450,316,4,1,금
2022-04-01,경원선,도봉산,7928,5217,13145,2711,4,1,금
2022-04-01,경원선,망월사,8092,8127,16219,-35,4,1,금
2022-04-01,경원선,회룡,12261,12174,24435,87,4,1,금
2022-04-01,경원선,의정부,18483,19379,37862,-896,4,1,금
2022-04-01,경원선,가능,6787,6418,13205,369,4,1,금
2022-04-01,경원선,녹양,4791,4489,9280,302,4,1,금
2022-04-01,경원선,양주,7881,7447,15328,434,4,1,금
2022-04-01,경원선,덕계,3120,2906,6026,214,4,1,금
2022-04-01,경원선,덕정,6302,5813,12115,489,4,1,금
2022-04-01,경원선,지행,6765,6726,13491,39,4,1,금
2022-04-01,경원선,동두천중앙,3127,3085,6212,42,4,1,금
2022-04-01,경원선,보산,1786,1557,3343,229,4,1,금
2022-04-01,경원선,동두천,2551,2678,5229,-127,4,1,금
2022-04-01,경원선,소요산,2716,2415,5131,301,4,1,금
2022-04-01,경의선,서울역,4240,5480,9720,-1240,4,1,금
2022-04-01,경의선,신촌,812,1078,1890,-266,4,1,금
2022-04-01,경의선,효창공원앞,2969,3260,6229,-291,4,1,금
2022-04-01,경의선,공덕,3363,2958,6321,405,4,1,금
2022-04-01,경의선,서강대,2181,2164,4345,17,4,1,금
2022-04-01,경의선,홍대입구,1735,2142,3877,-407,4,1,금
2022-04-01,경의선,가좌,5207,5104,10311,103,4,1,금
2022-04-01,경의선,디지털미디어시티,2411,2285,4696,126,4,1,금
2022-04-01,경의선,수색,2688,2724,5412,-36,4,1,금
2022-04-01,경의선,화전,2919,2597,5516,322,4,1,금
2022-04-01,경의선,강매,3230,2755,5985,475,4,1,금
2022-04-01,경의선,행신,7985,8107,16092,-122,4,1,금
2022-04-01,경의선,능곡,3814,3612,7426,202,4,1,금
2022-04-01,경의선,곡산,592,649,1241,-57,4,1,금
2022-04-01,경의선,백마,6973,6922,13895,51,4,1,금
2022-04-01,경의선,풍산,5507,5126,10633,381,4,1,금
